time(ms),enconder(steps),inputSignal(8bits),controlSignal
100,0,941
255,200,41,942
255,300,109,941
255,400,180,942
255,500,251,943
255,600,320,943
255,700,389,943
255,800,459,943
251,900,523,944
235,1000,584,944
220,1100,640,944
206,1200,692,944
193,1300,738,946
182,1400,780,946
171,1500,819,945
161,1600,851,945
153,1700,878,947
147,1800,902,946
141,1900,923,946
135,2000,941,947
0,2100,943,946
0,2200,943,947
0,2300,943,948
0,2400,943,948
0,2500,943,948
0,2600,943,948
0,2700,943,949
0,2800,943,950
0,2900,943,955
0,3000,943,957
0,3100,943,963
135,3200,945,964
0,3300,945,970
136,3400,945,972
136,3500,945,972
136,3600,945,976
137,3700,945,975
137,3800,945,974
137,3900,945,978
138,4000,945,976
137,4100,945,977
138,4200,950,979
137,4300,956,977
135,4400,962,978
0,4500,962,976
0,4600,962,977
0,4700,962,977
0,4800,962,976
0,4900,962,977
0,5000,962,975
0,5100,962,977
0,5200,962,976
0,5300,962,972
0,5400,962,966
0,5500,962,960
0,5600,962,955
0,5700,962,947
0,5800,962,937
137,5900,958,927
138,6000,958,917
141,6100,957,909
142,6200,953,898
144,6300,953,896
145,6400,953,895
145,6500,953,895
145,6600,943,895
142,6700,926,895
138,6800,921,889
138,6900,919,831
152,7000,903,636
197,7100,872,8
255,7200,814,8
255,7300,745,7
255,7400,674,7
255,7500,603,7
255,7600,532,7
255,7700,461,7
244,7800,394,7
227,7900,334,7
212,8000,278,8
198,8100,228,7
186,8200,183,8
174,8300,144,7
165,8400,109,7
156,8500,79,7
148,8600,52,7
142,8700,30,6
136,8800,14,7
0,8900,13,23
0,9000,13,631
255,9100,59,767
255,9200,125,821
255,9300,193,846
255,9400,262,867
255,9500,331,888
255,9600,400,906
255,9700,470,909
239,9800,534,914
225,9900,592,914
210,10000,646,910
196,10100,696,899
180,10200,739,874
163,10300,776,847
147,10400,805,807
0,10500,807,752
144,10600,798,701
155,10700,787,530
195,10800,754,341
234,10900,704,276
237,11000,645,66
255,11100,579,21
255,11200,508,30
250,11300,441,581
165,11400,450,709
194,11500,484,787
205,11600,529,817
202,11700,577,852
198,11800,625,883
194,11900,674,903
187,12000,720,910
177,12100,763,910
166,12200,800,911
157,12300,833,907
148,12400,860,891
137,12500,882,865
135,12600,871,829
141,12700,860,763
155,12800,844,595
193,12900,808,6
255,13000,748,7
255,13100,678,7
255,13200,606,7
255,13300,535,8
255,13400,465,8
245,13500,400,7
229,13600,340,702
220,13700,361,866
255,13800,422,915
253,13900,490,929
239,14000,553,928
223,14100,611,934
210,14200,665,939
198,14300,714,937
185,14400,760,937
174,14500,800,935
163,14600,836,933
154,14700,868,941
148,14800,895,949
143,14900,920,957
139,15000,941,962
135,15100,959,971
0,15200,960,970
0,15300,960,973
0,15400,960,975
0,15500,960,970
0,15600,960,962
0,15700,960,952
0,15800,960,953
0,15900,960,939
136,16000,960,924
139,16100,960,906
144,16200,960,895
147,16300,960,865
154,16400,959,843
159,16500,948,831
160,16600,922,836
152,16700,897,841
144,16800,876,840
139,16900,858,828
138,17000,841,758
151,17100,822,448
224,17200,779,8
255,17300,715,7
255,17400,643,7
255,17500,573,7
255,17600,501,7
254,17700,431,8
236,17800,367,6
221,17900,308,8
205,18000,255,7
192,18100,208,7
181,18200,165,6
170,18300,126,7
160,18400,94,634
255,18500,136,770
255,18600,202,828
255,18700,271,867
255,18800,342,894
255,18900,413,917
255,19000,484,927
240,19100,549,926
224,19200,608,921
208,19300,664,904
190,19400,712,879
171,19500,754,848
153,19600,787,803
0,19700,791,739
143,19800,776,633
166,19900,755,230
255,20000,698,7
255,20100,629,8
255,20200,558,8
255,20300,486,7
250,20400,419,7
233,20500,356,502
166,20600,366,706
215,20700,404,788
226,20800,456,836
225,20900,511,869
219,21000,567,893
211,21100,621,909
202,21200,673,914
190,21300,720,909
177,21400,764,890
161,21500,800,867
146,21600,828,833
0,21700,829,789
140,21800,817,735
151,21900,797,654
166,22000,771,534
190,22100,734,290
241,22200,679,6
255,22300,611,7
255,22400,539,8
255,22500,466,7
245,22600,398,25
224,22700,337,462
161,22800,349,630
200,22900,383,709
211,23000,430,761
212,23100,482,794
208,23200,535,821
201,23300,585,846
195,23400,633,859
186,23500,678,876
179,23600,721,889
172,23700,761,907
166,23800,797,908
157,23900,829,917
152,24000,858,923
146,24100,884,904
135,24200,904,889
0,24300,907,884
136,24400,907,864
141,24500,907,842
147,24600,907,811
154,24700,907,792
159,24800,907,754
169,24900,906,707
180,25000,906,627
200,25100,906,494
233,25200,874,272
255,25300,811,7
255,25400,741,7
255,25500,669,7
255,25600,597,7
255,25700,524,7
255,25800,451,6
242,25900,384,352
138,26000,341,668
211,26100,368,786
234,26200,420,840
235,26300,478,873
228,26400,537,898
220,26500,594,915
210,26600,648,929
200,26700,699,935
189,26800,745,938
178,26900,789,932
165,27000,827,925
154,27100,858,912
143,27200,883,898
0,27300,886,877
0,27400,886,845
141,27500,885,806
150,27600,885,736
168,27700,885,628
195,27800,866,462
231,27900,820,234
255,28000,756,20
255,28100,685,23
255,28200,612,21
255,28300,540,21
255,28400,468,83
227,28500,405,783
224,28600,422,889
246,28700,477,921
241,28800,537,936
229,28900,597,933
214,29000,653,896
190,29100,703,796
153,29200,739,714
137,29300,733,826
153,29400,733,896
170,29500,734,934
180,29600,744,946
180,29700,779,926
166,29800,814,839
136,29900,838,744
154,30000,832,833
0,30100,831,908
149,30200,849,943
153,30300,874,950
149,30400,899,952
143,30500,923,911
0,30600,926,831
154,30700,925,713
183,30800,920,802
160,30900,894,907
0,31000,891,948
144,31100,906,946
140,31200,925,917
0,31300,925,827
155,31400,925,734
178,31500,924,859
147,31600,924,917
0,31700,924,945
135,31800,926,954
137,31900,926,931
0,32000,926,879
142,32100,924,831
154,32200,924,876
142,32300,924,932
0,32400,924,950
136,32500,925,955
137,32600,925,940
0,32700,924,881
141,32800,924,781
166,32900,923,793
163,33000,920,894
137,33100,902,937
138,33200,904,950
141,33300,904,953
142,33400,904,935
137,33500,904,891
0,33600,903,863
140,33700,902,906
0,33800,902,941
139,33900,904,953
142,34000,904,945
140,34100,904,906
0,34200,904,897
0,34300,904,931
136,34400,904,948
141,34500,904,950
141,34600,904,923
0,34700,904,909
0,34800,904,934
137,34900,904,949
141,35000,904,954
142,35100,904,948
141,35200,904,933
137,35300,904,923
0,35400,904,938
138,35500,904,951
141,35600,904,955
142,35700,904,955
142,35800,904,953
142,35900,904,941
139,36000,904,926
135,36100,904,907
0,36200,904,878
137,36300,903,838
147,36400,903,790
159,36500,903,733
173,36600,889,667
186,36700,855,559
204,36800,810,271
255,36900,749,8
255,37000,678,7
255,37100,607,6
255,37200,535,7
255,37300,463,7
244,37400,395,240
169,37500,344,632
202,37600,367,763
229,37700,417,816
229,37800,474,847
223,37900,531,885
218,38000,587,899
208,38100,639,911
198,38200,688,917
187,38300,735,922
176,38400,778,930
168,38500,817,937
160,38600,851,938
151,38700,880,941
145,38800,905,947
140,38900,928,950
135,39000,945,952
0,39100,948,953
0,39200,948,954
0,39300,948,954
0,39400,948,953
0,39500,948,955
0,39600,948,953
0,39700,948,953
0,39800,948,955
0,39900,948,953
0,40000,948,953
0,40100,948,952
0,40200,948,954
0,40300,948,952
0,40400,948,954
0,40500,948,951
0,40600,948,953
0,40700,948,952
0,40800,948,950
0,40900,948,950
0,41000,948,950
0,41100,948,951
0,41200,948,949
0,41300,948,951
0,41400,948,951
0,41500,948,951
0,41600,948,946
0,41700,948,947
0,41800,948,948
0,41900,948,944
0,42000,948,945
0,42100,948,950
0,42200,948,948
0,42300,948,949
0,42400,948,947
0,42500,948,945
0,42600,948,942
0,42700,948,942
0,42800,948,944
0,42900,948,942
0,43000,948,951
0,43100,948,941
0,43200,948,942
0,43300,948,944
0,43400,948,938
0,43500,948,940
0,43600,948,941
0,43700,948,935
0,43800,948,945
0,43900,948,933
0,44000,948,929
135,44100,947,931
0,44200,947,930
135,44300,947,926
136,44400,944,925
135,44500,931,931
0,44600,932,923
0,44700,932,928
0,44800,932,924
0,44900,932,922
0,45000,932,918
0,45100,932,925
0,45200,932,924
0,45300,932,919
0,45400,932,922
0,45500,932,911
136,45600,932,910
136,45700,932,908
136,45800,932,906
137,45900,932,903
138,46000,932,898
139,46100,932,893
140,46200,932,890
141,46300,932,887
142,46400,932,882
143,46500,932,877
144,46600,932,874
145,46700,931,869
146,46800,931,865
147,46900,931,861
148,47000,920,856
146,47100,899,847
143,47200,884,843
141,47300,865,836
138,47400,850,827
136,47500,835,819
0,47600,834,799
139,47700,824,789
139,47800,805,768
140,47900,789,742
142,48000,768,705
146,48100,747,638
158,48200,722,587
164,48300,691,429
196,48400,648,29
255,48500,584,7
255,48600,512,8
255,48700,439,8
238,48800,372,7
222,48900,311,7
206,49000,255,7
192,49100,204,7
180,49200,159,8
168,49300,120,7
159,49400,86,7
150,49500,57,6
143,49600,33,7
137,49700,13,7
0,49800,10,8
0,49900,10,7
0,50000,10,8
0,50100,10,7
0,50200,10,24
0,50300,10,29
0,50400,10,80
147,50500,11,382
222,50600,11,488
249,50700,11,522
255,50800,11,565
255,50900,58,583
255,51000,125,601
249,51100,191,618
236,51200,253,619
221,51300,311,625
208,51400,366,633
196,51500,416,632
184,51600,462,626
171,51700,504,628
161,51800,539,629
152,51900,570,629
144,52000,595,637
140,52100,617,641
136,52200,638,653
0,52300,639,659
135,52400,639,670
137,52500,639,676
139,52600,639,679
140,52700,639,679
140,52800,639,683
141,52900,639,682
140,53000,639,693
143,53100,639,699
145,53200,639,700
145,53300,639,706
146,53400,639,703
146,53500,640,708
147,53600,640,716
149,53700,640,716
149,53800,640,718
149,53900,640,734
153,54000,652,740
152,54100,678,736
144,54200,704,743
139,54300,727,749
135,54400,746,757
0,54500,748,758
0,54600,748,776
137,54700,762,796
138,54800,780,826
141,54900,801,850
142,55000,824,872
142,55100,846,890
141,55200,868,910
140,55300,891,925
138,55400,912,935
135,55500,933,944
0,55600,934,950
0,55700,934,951
0,55800,934,937
0,55900,934,900
139,56000,931,838
154,56100,920,784
164,56200,894,844
143,56300,870,902
138,56400,870,936
146,56500,876,952
149,56600,896,951
143,56700,918,949
137,56800,938,942
0,56900,940,921
135,57000,933,890
141,57100,932,832
155,57200,927,695
188,57300,896,290
255,57400,835,7
255,57500,763,8
255,57600,691,27
255,57700,618,732
158,57800,626,843
184,57900,661,894
188,58000,704,925
185,58100,748,943
178,58200,791,955
171,58300,832,959
161,58400,867,960
153,58500,899,954
143,58600,925,947
135,58700,944,932
0,58800,945,911
139,58900,937,866
148,59000,931,772
170,59100,911,465
242,59200,862,7
255,59300,794,8
255,59400,723,7
255,59500,651,8
255,59600,578,600
135,59700,570,795
186,59800,570,861
202,59900,591,906
208,60000,638,932
203,
