time(ms),enconder(steps),inputSignal(8bits)
80,0,1
160,0,2
240,0,3
320,0,4
400,0,5
480,0,6
560,0,7
640,0,8
720,0,9
800,0,10
880,0,11
960,0,12
1040,0,13
1120,0,14
1200,0,15
1280,0,16
1360,0,17
1440,0,18
1520,0,19
1600,0,20
1680,0,21
1760,0,22
1840,0,23
1920,0,24
2000,0,25
2080,0,26
2160,0,27
2240,0,28
2320,0,29
2400,0,30
2480,0,31
2560,0,32
2640,0,33
2720,0,34
2800,0,35
2880,-1,36
2960,-1,37
3040,-1,38
3120,-1,39
3200,-1,40
3280,-1,41
3360,-1,42
3440,-1,43
3520,-1,44
3600,-1,45
3680,-1,46
3760,-1,47
3840,-1,48
3920,-1,49
4000,-1,50
4080,-1,51
4160,-1,52
4240,-1,53
4320,-1,54
4400,-1,55
4480,-1,56
4560,-1,57
4640,-1,58
4720,-1,59
4800,-1,60
4880,-1,61
4960,-1,62
5040,-1,63
5120,-1,64
5200,-1,65
5280,-1,66
5360,-1,67
5440,-1,68
5520,-1,69
5600,-1,70
5680,-1,71
5760,-1,72
5840,-1,73
5920,-1,74
6000,-1,75
6080,-1,76
6160,-1,77
6240,-1,78
6320,-1,79
6400,-1,80
6480,-1,81
6560,-1,82
6640,-1,83
6720,-1,84
6800,-1,85
6880,-1,86
6960,-1,87
7040,-1,88
7120,-1,89
7200,-1,90
7280,-1,91
7360,-1,92
7440,-1,93
7520,-1,94
7600,-1,95
7680,-1,96
7760,-1,97
7840,-1,98
7920,-1,99
8000,-1,100
8080,-1,101
8160,-1,102
8240,-1,103
8320,-1,104
8400,-1,105
8480,-1,106
8560,-1,107
8640,-1,108
8720,-1,109
8800,-1,110
8880,-1,111
8960,-1,112
9040,-1,113
9120,-1,114
9200,-1,115
9280,-1,116
9360,-1,117
9440,-1,118
9520,-1,119
9600,-1,120
9680,-1,121
9760,-1,122
9840,-1,123
9920,-1,124
10000,-1,125
10080,-1,126
10160,-1,127
10240,-1,128
10320,19,129
10400,19,130
10480,19,131
10560,19,132
10640,19,133
10720,19,134
10800,19,135
10880,19,136
10960,19,137
11040,19,138
11120,19,139
11200,19,140
11280,19,141
11360,19,142
11440,19,143
11520,19,144
11600,19,145
11680,19,146
11760,19,147
11840,19,148
11920,19,149
12000,19,150
12080,19,151
12160,19,152
12240,19,153
12320,19,154
12400,19,155
12480,19,156
12560,19,157
12640,19,158
12720,19,159
12800,19,160
12880,19,161
12960,19,162
13040,19,163
13120,19,164
13200,19,165
13280,19,166
13360,19,167
13440,19,168
13520,19,169
13600,19,170
13680,19,171
13760,19,172
13840,19,173
13920,19,174
14000,19,175
14080,19,176
14160,19,177
14240,19,178
14320,19,179
14400,19,180
14480,19,181
14560,19,182
14640,19,183
14720,19,184
14800,19,185
14880,19,186
14960,19,187
15040,19,188
15120,19,189
15200,19,190
15280,19,191
15360,19,192
15440,19,193
15520,19,194
15600,19,195
15680,19,196
15760,19,197
15840,19,198
15920,19,199
16000,19,200
16080,19,201
16160,19,202
16240,19,203
16320,19,204
16400,19,205
16480,19,206
16560,19,207
16640,19,208
16720,19,209
16800,19,210
16880,19,211
16960,19,212
17040,19,213
17120,19,214
17200,19,215
17280,19,216
17360,19,217
17440,19,218
17520,9,219
17600,9,220
17680,9,221
17760,9,222
17840,9,223
17920,9,224
18000,9,225
18080,9,226
18160,9,227
18240,9,228
18320,9,229
18400,9,230
18480,9,231
18560,9,232
18640,9,233
18720,9,234
18800,12,235
18880,-12,236
18960,-46,237
19040,-82,238
19120,-117,239
19200,-153,240
19280,-191,241
19360,-228,242
19440,-266,243
19520,-304,244
19600,-343,245
19680,-382,246
19760,-422,247
19840,-462,248
19920,-503,249
20000,-544,250
20080,-586,251
20160,-628,252
20240,-670,253
20320,-714,254
20400,-757,255
20480,-801,254
20560,-846,253
20640,-889,252
20720,-932,251
20800,-974,250
20880,-1015,249
20960,-1056,248
21040,-1097,247
21120,-1137,246
21200,-1177,245
21280,-1216,244
21360,-1255,243
21440,-1293,242
21520,-1331,241
21600,-1368,240
21680,-1405,239
21760,-1441,238
21840,-1477,237
21920,-1512,236
22000,-1546,235
22080,-1580,234
22160,-1613,233
22240,-1647,232
22320,-1679,231
22400,-1712,230
22480,-1745,229
22560,-1777,228
22640,-1809,227
22720,-1840,226
22800,-1871,225
22880,-1901,224
22960,-1931,223
23040,-1961,222
23120,-1990,221
23200,-2020,220
23280,-2049,219
23360,-2077,218
23440,-2105,217
23520,-2133,216
23600,-2160,215
23680,-2187,214
23760,-2214,213
23840,-2240,212
23920,-2265,211
24000,-2291,210
24080,-2316,209
24160,-2341,208
24240,-2365,207
24320,-2389,206
24400,-2413,205
24480,-2437,204
24560,-2460,203
24640,-2483,202
24720,-2505,201
24800,-2528,200
24880,-2550,199
24960,-2572,198
25040,-2594,197
25120,-2615,196
25200,-2636,195
25280,-2656,194
25360,-2676,193
25440,-2696,192
25520,-2715,191
25600,-2734,190
25680,-2754,189
25760,-2772,188
25840,-2791,187
25920,-2808,186
26000,-2827,185
26080,-2844,184
26160,-2862,183
26240,-2878,182
26320,-2895,181
26400,-2910,180
26480,-2925,179
26560,-2938,178
26640,-2953,177
26720,-2965,176
26800,-2979,175
26880,-2992,174
26960,-3003,173
27040,-3016,172
27120,-3027,171
27200,-3035,170
27280,-3046,169
27360,-3055,168
27440,-3059,167
27520,-3059,166
27600,-3059,165
27680,-3059,164
27760,-3059,163
27840,-3059,162
27920,-3059,161
28000,-3059,160
28080,-3059,159
28160,-3059,158
28240,-3059,157
28320,-3059,156
28400,-3059,155
28480,-3059,154
28560,-3059,153
28640,-3059,152
28720,-3059,151
28800,-3059,150
28880,-3059,149
28960,-3059,148
29040,-3059,147
29120,-3059,146
29200,-3059,145
29280,-3059,144
29360,-3059,143
29440,-3059,142
29520,-3059,141
29600,-3059,140
29680,-3059,139
29760,-3059,138
29840,-3059,137
29920,-3059,136
30000,-3059,135
30080,-3059,134
30160,-3059,133
30240,-3059,132
30320,-3059,131
30400,-3059,130
30480,-3059,129
30560,-3059,128
30640,-3059,127
30720,-3059,126
30800,-3059,125
30880,-3059,124
30960,-3059,123
31040,-3059,122
31120,-3059,121
31200,-3059,120
31280,-3059,119
31360,-3059,118
31440,-3059,117
31520,-3059,116
31600,-3059,115
31680,-3059,114
31760,-3059,113
31840,-3059,112
31920,-3059,111
32000,-3059,110
32080,-3059,109
32160,-3059,108
32240,-3059,107
32320,-3059,106
32400,-3059,105
32480,-3059,104
32560,-3059,103
32640,-3059,102
32720,-3059,101
32800,-3059,100
32880,-3059,99
32960,-3059,98
33040,-3059,97
33120,-3059,96
33200,-3059,95
33280,-3059,94
33360,-3059,93
33440,-3059,92
33520,-3059,91
33600,-3059,90
33680,-3059,89
33760,-3059,88
33840,-3059,87
33920,-3059,86
34000,-3059,85
34080,-3059,84
34160,-3059,83
34240,-3059,82
34320,-3059,81
34400,-3059,80
34480,-3059,79
34560,-3059,78
34640,-3059,77
34720,-3059,76
34800,-3059,75
34880,-3059,74
34960,-3059,73
35040,-3059,72
35120,-3059,71
35200,-3059,70
35280,-3059,69
35360,-3059,68
35440,-3059,67
35520,-3059,66
35600,-3059,65
35680,-3059,64
35760,-3059,63
35840,-3059,62
35920,-3059,61
36000,-3059,60
36080,-3059,59
36160,-3059,58
36240,-3059,57
36320,-3059,56
36400,-3059,55
36480,-3059,54
36560,-3059,53
36640,-3059,52
36720,-3059,51
36800,-3059,50
36880,-3059,49
36960,-3059,48
37040,-3059,47
37120,-3059,46
37200,-3059,45
37280,-3059,44
37360,-3059,43
37440,-3059,42
37520,-3059,41
37600,-3059,40
37680,-3059,39
37760,-3059,38
37840,-3059,37
37920,-3059,36
38000,-3059,35
38080,-3059,34
38160,-3059,33
38240,-3059,32
38320,-3059,31
38400,-3059,30
38480,-3059,29
38560,-3059,28
38640,-3059,27
38720,-3059,26
38800,-3059,25
38880,-3059,24
38960,-3059,23
