time(ms),enconder(steps),inputSignal(8bits),controlSignal
35400,12,263,192
35500,13,261,192
35600,43,261,184
35700,78,262,176
35800,112,262,167
35900,141,263,160
36000,167,263,154
36100,193,262,147
36200,213,262,142
36300,230,263,138
36400,247,262,0
36500,249,261,0
36600,249,366,159
36700,263,492,187
36800,297,578,200
36900,339,614,198
37000,385,612,186
37100,428,612,176
37200,466,611,166
37300,499,611,158
37400,529,633,156
37500,557,751,178
37600,591,819,187
37700,632,857,186
37800,675,882,181
37900,716,891,173
38000,755,881,161
38100,789,838,142
38200,814,765,143
38300,804,639,172
38400,783,85,255
38500,730,7,255
38600,663,7,255
38700,594,7,255
38800,525,7,255
38900,456,279,175
39000,405,660,193
39100,428,793,221
39200,472,851,224
39300,523,878,218
39400,576,892,209
39500,626,901,198
39600,674,903,187
39700,717,894,174
39800,756,872,159
39900,787,835,142
40000,810,773,140
40100,810,649,171
40200,810,378,238
40300,777,8,255
40400,716,8,255
40500,648,8,255
40600,579,7,255
40700,510,7,255
40800,442,7,239
40900,379,505,161
41000,385,713,212
41100,419,799,225
41200,468,848,225
41300,522,877,218
41400,574,896,210
41500,625,907,200
41600,673,911,189
41700,717,910,178
41800,758,905,166
41900,792,886,153
42000,820,853,138
42100,839,795,141
42200,832,689,166
42300,811,505,207
42400,774,23,255
42500,714,8,255
42600,645,7,255
42700,575,8,255
42800,507,8,255
42900,437,8,238
43000,374,62,208
43100,321,608,201
43200,343,736,228
43300,389,799,232
43400,442,844,230
43500,498,869,222
43600,553,890,214
43700,606,901,203
43800,655,906,192
43900,701,906,181
44000,742,902,170
44100,778,884,156
44200,809,849,140
44300,832,794,140
44400,833,707,162
44500,832,587,192
44600,805,402,231
44700,759,23,255
44800,695,7,255
44900,626,7,255
45000,556,7,255
45100,488,7,251
45200,422,7,234
45300,361,7,219
45400,306,459,168
45500,302,711,232
45600,302,812,255
45700,340,862,255
45800,405,889,251
45900,470,905,238
46000,530,913,225
46100,588,914,211
46200,641,908,196
46300,688,893,181
46400,731,866,163
46500,767,823,144
46600,792,746,142
46700,780,592,177
46800,760,123,255
46900,705,7,255
47000,637,8,255
47100,568,8,255
47200,499,8,253
47300,430,126,206
47400,372,603,187
47500,392,743,217
47600,435,813,224
47700,487,855,222
47800,542,884,215
47900,595,901,206
48000,647,908,195
48100,694,909,183
48200,737,904,171
48300,774,886,158
48400,806,854,142
48500,831,802,138
48600,827,724,156
48700,806,628,175
48800,779,385,229
48900,733,7,255
49000,669,7,255
49100,601,7,255
49200,533,7,255
49300,466,8,245
49400,404,447,140
49500,399,705,206
49600,399,801,230
49700,399,850,242
49800,399,881,250
49900,399,899,255
50000,399,911,255
50100,434,922,252
50200,495,927,238
50300,555,929,223
50400,611,930,209
50500,663,930,196
50600,711,929,184
50700,753,931,174
50800,791,930,164
50900,825,929,156
51000,852,931,149
51100,876,931,143
51200,896,932,139
51300,912,931,0
51400,913,931,0
51500,913,932,0
51600,913,932,0
51700,913,930,0
51800,913,931,0
51900,913,915,0
52000,913,875,140
52100,904,809,154
52200,901,825,149
52300,885,890,0
52400,882,912,137
52500,896,888,0
52600,897,861,139
52700,894,884,0
52800,894,912,0
52900,894,889,0
53000,894,874,135
53100,893,906,0
53200,893,916,135
53300,902,884,135
53400,900,888,0
53500,900,915,0
53600,900,917,0
53700,900,891,0
53800,900,886,0
53900,900,897,0
54000,900,915,0
54100,900,895,0
54200,900,875,137
54300,900,904,0
54400,900,924,136
54500,902,902,0
54600,902,890,0
54700,902,914,0
54800,902,927,136
54900,902,906,0
55000,902,887,0
55100,902,909,0
55200,902,929,136
55300,902,923,135
55400,902,892,0
55500,902,898,0
55600,902,928,136
55700,902,928,136
55800,902,904,0
55900,902,911,0
56000,902,934,138
56100,902,931,137
56200,902,904,0
56300,902,906,0
56400,902,931,137
56500,902,929,136
56600,902,900,0
56700,902,897,0
56800,902,926,136
56900,902,928,136
57000,902,899,0
57100,902,896,0
57200,902,919,0
57300,902,922,135
57400,902,892,0
57500,902,886,0
57600,902,913,0
57700,902,927,136
57800,902,910,0
57900,902,886,0
58000,902,904,0
58100,902,924,135
58200,902,925,135
58300,902,900,0
58400,902,900,0
58500,902,925,135
58600,902,927,136
58700,902,902,0
58800,902,889,0
58900,902,910,0
59000,902,924,135
59100,902,921,0
59200,902,896,0
59300,902,897,0
59400,902,919,0
59500,902,923,135
59600,902,897,0
59700,902,883,135
59800,901,905,0
59900,901,922,135
60000,902,907,0
60100,902,888,0
60200,902,904,0
60300,902,922,135
60400,902,904,0
60500,902,894,0
60600,902,905,0
60700,902,912,0
60800,902,913,0
60900,902,912,0
61000,902,911,0
61100,902,912,0
61200,902,912,0
61300,902,911,0
61400,902,912,0
61500,902,911,0
61600,902,911,0
61700,902,911,0
61800,902,910,0
61900,902,908,0
62000,902,906,0
62100,902,901,0
62200,902,893,0
62300,902,892,0
62400,902,886,0
62500,902,883,135
62600,902,881,136
62700,902,881,136
62800,902,877,137
62900,902,875,137
63000,902,873,138
63100,901,866,139
63200,901,865,139
63300,901,862,140
63400,901,858,141
63500,901,855,142
63600,901,848,144
63700,894,845,143
63800,877,842,139
63900,866,836,138
64000,856,831,137
64100,842,826,0
64200,842,819,136
64300,842,815,137
64400,833,805,137
64500,820,794,137
64600,810,783,137
64700,804,770,139
64800,800,760,140
64900,799,751,142
65000,782,738,141
65100,769,718,143
65200,768,699,148
65300,768,677,153
65400,755,646,158
65500,735,626,158
65600,710,615,154
65700,687,571,159
65800,665,526,165
65900,637,493,166
66000,608,458,168
66100,579,377,181
66200,544,271,199
66300,503,207,204
66400,458,54,231
66500,407,26,226
66600,353,23,213
66700,302,27,199
66800,255,25,188
66900,213,25,177
67000,176,24,168
67100,144,24,160
67200,118,23,154
67300,94,24,148
67400,73,30,141
67500,61,26,139
67600,44,29,0
67700,43,90,141
67800,43,300,194
67900,43,381,214
68000,64,432,222
68100,107,460,218
68200,152,467,208
68300,199,475,199
68400,242,486,191
68500,284,495,182
68600,324,493,172
68700,359,502,165
68800,391,523,163
68900,421,526,156
69000,448,526,149
69100,471,532,145
69200,491,541,142
69300,509,566,144
69400,526,582,144
69500,545,587,140
69600,560,583,135
69700,575,595,135
69800,585,610,136
69900,598,620,135
70000,612,628,0
70100,613,637,136
70200,614,658,141
70300,614,666,143
70400,614,678,146
70500,614,679,146
70600,614,685,147
70700,614,703,152
70800,614,714,155
70900,614,714,155
71000,614,725,157
71100,615,728,158
71200,615,732,159
71300,615,737,160
71400,616,746,162
71500,638,757,159
71600,662,759,154
71700,688,768,150
71800,712,774,145
71900,734,784,142
72000,751,788,139
72100,769,793,136
72200,781,794,0
72300,781,800,0
72400,781,805,136
72500,785,811,136
72600,785,815,137
72700,785,823,139
72800,785,828,140
72900,785,831,141
73000,785,836,142
73100,785,840,143
73200,786,843,144
73300,786,847,145
73400,786,852,146
73500,794,854,145
73600,812,856,141
73700,831,858,136
73800,842,859,0
73900,844,860,0
74000,844,862,0
74100,844,862,0
74200,844,865,135
74300,844,865,135
74400,844,868,136
74500,844,872,137
74600,844,873,137
74700,844,878,138
74800,844,876,138
74900,844,878,138
75000,844,881,139
75100,844,882,139
75200,844,883,139
75300,844,884,140
75400,844,885,140
75500,844,885,140
75600,844,885,140
75700,844,887,140
75800,844,884,140
75900,844,882,139
76000,844,880,139
76100,844,879,138
76200,844,875,137
76300,844,872,137
76400,844,870,136
76500,844,870,136
76600,844,867,135
76700,844,862,0
76800,844,858,0
76900,844,858,0
77000,844,854,0
77100,844,850,0
77200,844,848,0
77300,844,842,0
77400,844,840,0
77500,844,834,0
77600,844,829,0
77700,844,821,136
77800,843,816,137
77900,843,812,138
78000,843,806,140
78100,843,804,140
78200,843,799,141
78300,843,794,143
78400,843,789,144
78500,843,786,145
78600,843,783,145
78700,843,774,148
78800,842,768,149
78900,839,760,150
79000,832,756,149
79100,832,747,152
79200,826,744,151
79300,807,736,148
