time(ms),enconder(steps),inputSignal(8bits)
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0
1000,0,185
1100,0,185
1200,0,185
1300,0,185
1400,0,185
1500,0,185
1600,0,185
1700,0,185
1800,0,185
1900,0,185
2000,0,185
2100,0,185
2200,0,185
2300,5,185
2400,40,185
2500,82,185
2600,126,185
2700,170,185
2800,214,185
2900,259,185
3000,303,185
3100,349,185
3200,393,185
3300,438,185
3400,483,0
3500,491,0
3600,491,0
3700,491,0
3800,491,0
3900,491,0
4000,491,0
4100,491,0
4200,491,0
4300,491,0
4400,491,0
4500,491,0
4600,491,0
4700,491,0
4800,491,0
4900,491,0
5000,491,0
5100,491,0
5200,491,0
5300,491,0
5400,491,0
5500,491,0
5600,491,0
5700,491,195
5800,522,195
5900,568,195
6000,617,195
6100,667,195
6200,716,195
6300,766,195
6400,815,195
6500,866,195
6600,915,195
6700,965,195
6800,1015,195
6900,1065,195
7000,1114,195
7100,1164,195
7200,1215,195
7300,1264,195
7400,1315,195
7500,1366,195
7600,1416,195
7700,1466,195
7800,1517,195
7900,1567,0
8000,1578,0
8100,1578,0
8200,1578,0
8300,1578,0
8400,1578,0
8500,1578,0
8600,1578,0
8700,1578,0
8800,1578,0
8900,1578,0
9000,1578,0
9100,1578,0
9200,1578,0
9300,1578,0
9400,1578,0
9500,1578,0
9600,1578,0
9700,1578,0
9800,1578,0
9900,1578,0
10000,1578,205
10100,1609,205
10200,1659,205
10300,1712,205
10400,1766,205
10500,1819,205
10600,1873,205
10700,1928,205
10800,1982,205
10900,2036,205
11000,2091,205
11100,2145,205
11200,2200,205
11300,2255,205
11400,2310,205
11500,2365,205
11600,2420,205
11700,2474,205
11800,2529,205
11900,2584,205
12000,2638,0
12100,2651,0
12200,2651,0
12300,2651,0
12400,2651,0
12500,2651,0
12600,2651,0
12700,2651,0
12800,2651,0
12900,2651,0
13000,2651,0
13100,2651,0
13200,2651,0
13300,2651,0
13400,2651,0
13500,2651,0
13600,2651,0
13700,2651,0
13800,2651,0
13900,2651,215
14000,2686,215
