time(ms),enconder(steps),inputSignal(8bits),controlSignal
255,35400,380,7
255,35500,313,7
255,35600,247,7
250,35700,185,26
210,35800,133,363
245,35900,160,557
255,36000,218,629
255,36100,282,681
255,36200,349,732
255,36300,417,762
255,36400,485,783
255,36500,553,797
252,36600,620,815
227,36700,678,828
205,36800,730,834
182,36900,776,836
160,37000,810,833
141,37100,834,826
0,37200,834,814
140,37300,834,804
145,37400,834,793
151,37500,834,781
157,37600,834,764
165,37700,834,743
176,37800,834,718
188,37900,833,685
204,38000,823,655
214,38100,782,632
205,38200,737,598
200,38300,693,583
185,38400,652,567
173,38500,617,566
156,38600,590,564
143,38700,572,556
138,38800,556,546
135,38900,550,520
145,39000,544,479
163,39100,524,443
171,39200,497,405
176,39300,466,352
187,39400,429,232
229,39500,382,61
255,39600,321,26
255,39700,255,25
245,39800,193,25
214,39900,140,8
196,40000,94,7
174,40100,57,8
155,40200,28,8
140,40300,8,7
0,40400,8,28
140,40500,8,37
144,40600,8,100
176,40700,8,277
255,40800,35,382
255,40900,96,426
255,41000,161,474
255,41100,227,502
255,41200,295,525
245,41300,358,586
244,41400,417,600
221,41500,471,633
211,41600,522,633
185,41700,567,648
170,41800,604,679
167,41900,636,691
157,42000,664,709
152,42100,688,717
144,42200,709,724
137,42300,722,736
137,42400,738,741
0,42500,738,752
137,42600,738,765
143,42700,738,774
148,42800,738,769
145,42900,738,763
142,43000,738,740
0,43100,738,713
143,43200,737,677
160,43300,736,632
182,43400,736,623
187,43500,718,592
193,43600,682,577
183,43700,645,526
190,43800,605,491
187,43900,565,435
195,44000,523,286
249,44100,468,78
255,44200,401,27
255,44300,333,24
255,44400,264,25
250,44500,199,7
226,44600,140,7
197,44700,90,7
172,44800,51,7
152,44900,22,8
137,45000,1,7
0,45100,0,7
0,45200,0,7
0,45300,0,7
0,45400,0,26
143,45500,1,351
255,45600,30,493
255,45700,92,587
255,45800,158,630
255,45900,226,665
255,46000,294,700
255,46100,364,721
255,46200,431,738
255,46300,499,760
255,46400,568,764
228,46500,629,763
197,46600,680,763
171,46700,720,763
151,46800,749,739
135,46900,742,711
146,47000,742,657
173,47100,741,605
198,47200,723,524
230,47300,677,385
255,47400,614,180
255,47500,546,62
255,47600,477,21
255,47700,407,21
255,47800,339,21
255,47900,269,43
243,48000,205,434
244,48100,237,565
255,48200,298,630
255,48300,364,678
255,48400,431,708
255,48500,500,737
248,48600,565,748
221,48700,622,745
191,48800,671,746
167,48900,709,736
143,49000,736,717
140,49100,738,680
159,49200,738,641
179,49300,737,619
189,49400,726,578
204,49500,687,525
211,49600,641,499
201,49700,594,454
200,49800,549,380
215,49900,500,296
232,50000,445,138
255,50100,382,66
255,50200,314,47
255,50300,245,51
227,50400,185,267
171,50500,199,483
255,50600,251,580
255,50700,317,620
255,50800,386,626
250,50900,451,625
217,51000,508,612
182,51100,554,500
157,51200,553,457
178,51300,530,452
169,51400,500,500
0,51500,493,530
148,51600,494,582
174,51700,494,581
173,51800,494,582
174,51900,494,563
164,52000,494,530
148,52100,494,500
0,52200,494,481
137,52300,493,424
165,52400,493,351
201,52500,474,277
229,52600,424,189
248,52700,366,87
255,52800,300,124
218,52900,241,353
186,53000,257,426
214,53100,297,505
234,53200,349,575
243,53300,406,589
221,53400,461,623
211,53500,513,632
189,53600,559,630
165,53700,595,656
160,53800,626,678
156,53900,653,697
152,54000,678,713
147,54100,702,728
143,54200,722,734
136,54300,740,740
0,54400,740,748
0,54500,740,752
136,54600,740,754
137,54700,740,752
136,54800,740,732
0,54900,740,654
173,55000,738,491
254,55100,691,250
255,55200,624,25
255,55300,555,7
255,55400,485,7
255,55500,414,7
255,55600,346,7
255,55700,276,7
255,55800,206,7
230,55900,144,8
198,56000,92,7
173,56100,52,23
145,56200,25,449
255,56300,65,631
255,56400,130,706
255,56500,197,747
255,56600,266,773
255,56700,336,788
255,56800,404,809
255,56900,473,826
255,57000,544,840
255,57100,613,850
248,57200,677,847
215,57300,734,835
180,57400,779,810
145,57500,809,774
148,57600,808,713
178,57700,786,629
209,57800,746,500
253,57900,687,358
255,58000,618,25
255,58100,547,7
255,58200,477,7
255,58300,406,7
255,58400,335,7
255,58500,264,151
187,58600,208,631
255,58700,246,762
255,58800,311,811
255,58900,381,837
255,59000,449,839
255,59100,518,818
255,59200,589,764
217,59300,650,666
138,59400,685,489
228,59500,659,26
255,59600,598,7
255,59700,529,7
255,59800,458,8
255,59900,388,6
255,60000,318,8
255,
