time(ms),enconder(steps),inputSignal(8bits)
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,0
800,0,0
900,0,0
1000,0,165
1100,17,165
1200,42,165
1300,68,165
1400,94,165
1500,121,165
1600,148,165
1700,176,165
1800,203,165
1900,229,165
2000,256,165
2100,284,165
2200,313,165
2300,342,165
2400,371,165
2500,401,165
2600,431,165
2700,461,165
2800,491,165
2900,521,165
3000,549,165
3100,577,165
3200,605,165
3300,633,165
3400,661,0
3500,663,0
3600,663,0
3700,663,0
3800,663,0
3900,663,0
4000,663,0
4100,663,0
4200,663,0
4300,663,0
4400,663,0
4500,663,0
4600,663,0
4700,663,0
4800,663,0
4900,663,0
5000,663,0
5100,663,0
5200,663,0
5300,663,0
5400,663,0
5500,663,0
5600,663,0
5700,663,175
5800,663,175
5900,663,175
6000,663,175
6100,663,175
6200,663,175
6300,663,175
6400,663,175
6500,673,175
6600,689,175
6700,718,175
6800,750,175
6900,783,175
7000,817,175
7100,851,175
7200,884,175
7300,916,175
7400,950,175
7500,984,175
7600,1018,175
7700,1053,175
7800,1088,175
7900,1122,0
8000,1126,0
8100,1126,0
8200,1126,0
8300,1126,0
8400,1126,0
8500,1126,0
8600,1126,0
8700,1126,0
8800,1126,0
8900,1126,0
9000,1126,0
9100,1126,0
9200,1126,0
9300,1126,0
9400,1126,0
9500,1126,0
9600,1126,0
9700,1126,0
9800,1126,0
9900,1126,0
10000,1126,185
10100,1152,185
10200,1187,185
10300,1226,185
10400,1267,185
10500,1307,185
10600,1347,185
10700,1387,185
10800,1428,185
10900,1469,185
11000,1507,185
11100,1543,185
11200,1578,185
11300,1611,185
11400,1644,185
11500,1680,185
11600,1718,185
11700,1756,185
11800,1794,185
11900,1832,185
12000,1872,0
12100,1879,0
12200,1879,0
12300,1879,0
12400,1879,0
12500,1879,0
12600,1879,0
12700,1879,0
12800,1879,0
12900,1879,0
13000,1879,0
13100,1879,0
13200,1879,0
13300,1879,0
13400,1879,0
13500,1879,0
13600,1879,0
13700,1879,0
13800,1879,0
13900,1879,195
14000,1904,195
14100,1946,195
