time(ms),enconder(steps),inputSignal(8bits)
60,0,1
120,0,2
180,0,3
240,0,4
300,0,5
360,0,6
420,0,7
480,0,8
540,0,9
600,0,10
660,0,11
720,0,12
780,0,13
840,0,14
900,0,15
960,0,16
1020,0,17
1080,0,18
1140,0,19
1200,0,20
1260,0,21
1320,0,22
1380,0,23
1440,0,24
1500,0,25
1560,0,26
1620,0,27
1680,0,28
1740,0,29
1800,0,30
1860,0,31
1920,0,32
1980,0,33
2040,0,34
2100,0,35
2160,0,36
2220,0,37
2280,0,38
2340,0,39
2400,0,40
2460,0,41
2520,0,42
2580,0,43
2640,0,44
2700,0,45
2760,0,46
2820,0,47
2880,0,48
2940,0,49
3000,0,50
3060,0,51
3120,0,52
3180,0,53
3240,0,54
3300,0,55
3360,0,56
3420,0,57
3480,0,58
3540,0,59
3600,0,60
3660,0,61
3720,0,62
3780,0,63
3840,0,64
3900,0,65
3960,0,66
4020,0,67
4080,0,68
4140,0,69
4200,0,70
4260,0,71
4320,0,72
4380,0,73
4440,0,74
4500,0,75
4560,0,76
4620,0,77
4680,0,78
4740,0,79
4800,0,80
4860,0,81
4920,0,82
4980,0,83
5040,0,84
5100,0,85
5160,0,86
5220,0,87
5280,0,88
5340,0,89
5400,0,90
5460,0,91
5520,0,92
5580,0,93
5640,0,94
5700,0,95
5760,0,96
5820,0,97
5880,0,98
5940,0,99
6000,0,100
6060,0,101
6120,0,102
6180,0,103
6240,0,104
6300,0,105
6360,0,106
6420,0,107
6480,0,108
6540,0,109
6600,0,110
6660,0,111
6720,0,112
6780,0,113
6840,-33,114
6900,-60,115
6960,-60,116
7020,-60,117
7080,-60,118
7140,-60,119
7200,-60,120
7260,-60,121
7320,-60,122
7380,-60,123
7440,-60,124
7500,-60,125
7560,-60,126
7620,-60,127
7680,-60,128
7740,-60,129
7800,-60,130
7860,-60,131
7920,-60,132
7980,-60,133
8040,-60,134
8100,-60,135
8160,-60,136
8220,-60,137
8280,-60,138
8340,-60,139
8400,-60,140
8460,-60,141
8520,-60,142
8580,-60,143
8640,-60,144
8700,-60,145
8760,-60,146
8820,-60,147
8880,-60,148
8940,-60,149
9000,-60,150
9060,-60,151
9120,-60,152
9180,-60,153
9240,-60,154
9300,-60,155
9360,-60,156
9420,-60,157
9480,-60,158
9540,-60,159
9600,-60,160
9660,-60,161
9720,-60,162
9780,-60,163
9840,-60,164
9900,-60,165
9960,-60,166
10020,-60,167
10080,-60,168
10140,-60,169
10200,-60,170
10260,-60,171
10320,-60,172
10380,-60,173
10440,-60,174
10500,-60,175
10560,-60,176
10620,-60,177
10680,-60,178
10740,-60,179
10800,-60,180
10860,-60,181
10920,-60,182
10980,-60,183
11040,-60,184
11100,-60,185
11160,-60,186
11220,-60,187
11280,-60,188
11340,-60,189
11400,-60,190
11460,-60,191
11520,-60,192
11580,-60,193
11640,-60,194
11700,-60,195
11760,-60,196
11820,-60,197
11880,-60,198
11940,-60,199
12000,-60,200
12060,-60,201
12120,-60,202
12180,-60,203
12240,-60,204
12300,-60,205
12360,-60,206
12420,-60,207
12480,-60,208
12540,-60,209
12600,-60,210
12660,-60,211
12720,-60,212
12780,-60,213
12840,-60,214
12900,-60,215
12960,-60,216
13020,-60,217
13080,-60,218
13140,-60,219
13200,-60,220
13260,-60,221
13320,-60,222
13380,-60,223
13440,-60,224
13500,-60,225
13560,-60,226
13620,-60,227
13680,-60,228
13740,-60,229
13800,-60,230
13860,-60,231
13920,-60,232
13980,-60,233
14040,-60,234
14100,-60,235
14160,-60,236
14220,-29,237
14280,-29,238
14340,-29,239
14400,-29,240
14460,-29,241
14520,-29,242
14580,-29,243
14640,-29,244
